metric,micro_accuracy,precision,recall,f1,row_exact_accuracy,correct,gold,silver,rows_exact,rows_total
relation_labels,0.874792977807221,0.9060034305317324,0.874792977807221,0.8901247050893157,0.83,2641,3019,2915,498,600
relation_spans,0.7787878787878788,0.8816466552315609,0.7787878787878788,0.827031375703942,0.8266666666666667,2570,3300,2915,496,600
affected_spans,0.8238805970149253,0.8461931527848748,0.8238805970149253,0.8348878245525586,0.8366666666666667,3312,4020,3914,502,600
direction_spans,0.8817852834740652,0.8553042121684867,0.8817852834740652,0.8683429023955651,0.84,2193,2487,2564,504,600
